,full_name,gender,category,birth_year,winner_age,birth_country,award_year
640,Mikhail Aleksandrovich Sholokhov,male,Literature,1905.0,60.0,Russia,1965
641,Milton Friedman,male,Economic Sciences,1912.0,64.0,USA,1976
642,Mo Yan,male,Literature,1955.0,57.0,China,2012
643,Mohamed ElBaradei,male,Peace,1942.0,63.0,Egypt,2005
644,Morten Meldal,male,Chemistry,1954.0,68.0,Denmark,2022
645,Mother Teresa,female,Peace,1910.0,69.0,North Macedonia,1979
646,Muhammad Yunus,male,Peace,1940.0,66.0,Bangladesh,2006
647,Murray Gell-Mann,male,Physics,1929.0,40.0,USA,1969
648,Myron S. Scholes,male,Economic Sciences,1941.0,56.0,Canada,1997
649,Nadia Murad Basee Taha,female,Peace,1993.0,25.0,Iraq,2018
650,Nadine Gordimer,female,Literature,1923.0,68.0,South Africa,1991
651,Naguib Mahfouz,male,Literature,1911.0,77.0,Egypt,1988
653,Lars Olof Jonathan (Nathan) Söderblom,male,Peace,1866.0,64.0,Sweden,1930
655,Nelly Sachs,female,Literature,1891.0,75.0,Germany,1966
656,Nelson Rolihlahla Mandela,male,Peace,1918.0,75.0,South Africa,1993
657,Nicholas Murray Butler,male,Peace,1862.0,69.0,USA,1931
658,Nicolaas Bloembergen,male,Physics,1920.0,61.0,the Netherlands,1981
659,Nicolay Gennadiyevich Basov,male,Physics,1922.0,42.0,Russia,1964
660,Niels Henrik David Bohr,male,Physics,1885.0,37.0,Denmark,1922
661,Niels K. Jerne,male,Physiology or Medicine,1911.0,73.0,United Kingdom,1984
662,Niels Ryberg Finsen,male,Physiology or Medicine,1860.0,43.0,Faroe Islands (Denmark),1903
663,Nikolaas Tinbergen,male,Physiology or Medicine,1907.0,66.0,the Netherlands,1973
664,Nikolay Nikolaevich Semenov,male,Chemistry,1896.0,60.0,Russia,1956
665,Norman Ernest Borlaug,male,Peace,1914.0,56.0,USA,1970
666,Norman F. Ramsey,male,Physics,1915.0,74.0,USA,1989
667,Walter Norman Haworth,male,Chemistry,1883.0,54.0,United Kingdom,1937
668,Octavio Paz,male,Literature,1914.0,76.0,Mexico,1990
669,Odd Hassel,male,Chemistry,1897.0,72.0,Norway,1969
670,Odysseus Elytis,male,Literature,1911.0,68.0,Greece,1979
673,Olga Tokarczuk,female,Literature,1962.0,56.0,Poland,2018
674,Oliver E. Williamson,male,Economic Sciences,1932.0,77.0,USA,2009
675,Oliver Hart,male,Economic Sciences,1948.0,68.0,United Kingdom,2016
676,Oliver Smithies,male,Physiology or Medicine,1925.0,82.0,United Kingdom,2007
678,Orhan Pamuk,male,Literature,1952.0,54.0,Turkey,2006
679,Osamu Shimomura,male,Chemistry,1928.0,80.0,Japan,2008
680,Oscar Arias Sánchez,male,Peace,1940.0,47.0,Costa Rica,1987
681,Otto Paul Hermann Diels,male,Chemistry,1876.0,74.0,Germany,1950
682,Otto Hahn,male,Chemistry,1879.0,65.0,Germany,1944
683,Otto Loewi,male,Physiology or Medicine,1873.0,63.0,Germany,1936
684,Otto Fritz Meyerhof,male,Physiology or Medicine,1884.0,38.0,Germany,1922
685,Otto Stern,male,Physics,1888.0,55.0,Poland,1943
686,Otto Wallach,male,Chemistry,1847.0,63.0,Russia,1910
687,Otto Heinrich Warburg,male,Physiology or Medicine,1883.0,48.0,Germany,1931
688,Owen Chamberlain,male,Physics,1920.0,39.0,USA,1959
689,Owen Willans Richardson,male,Physics,1879.0,49.0,United Kingdom,1928
690,Pablo Neruda,male,Literature,1904.0,67.0,Chile,1971
691,Pär Fabian Lagerkvist,male,Literature,1891.0,60.0,Sweden,1951
692,Patrick Maynard Stuart Blackett,male,Physics,1897.0,51.0,United Kingdom,1948
693,Patrick Modiano,male,Literature,1945.0,69.0,France,2014
694,Patrick White,male,Literature,1912.0,61.0,United Kingdom,1973
695,Paul A. Samuelson,male,Economic Sciences,1915.0,55.0,USA,1970
696,Paul Adrien Maurice Dirac,male,Physics,1902.0,31.0,United Kingdom,1933
697,Paul Berg,male,Chemistry,1926.0,54.0,USA,1980
698,Paul C. Lauterbur,male,Physiology or Medicine,1929.0,74.0,USA,2003
699,Paul D. Boyer,male,Chemistry,1918.0,79.0,USA,1997
700,Paul Ehrlich,male,Physiology or Medicine,1854.0,54.0,Poland,1908
701,Paul Greengard,male,Physiology or Medicine,1925.0,75.0,USA,2000
702,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",male,Peace,1852.0,57.0,France,1909
703,Paul Johann Ludwig Heyse,male,Literature,1830.0,80.0,Germany,1910
704,Paul J. Crutzen,male,Chemistry,1933.0,62.0,the Netherlands,1995
705,Paul J. Flory,male,Chemistry,1910.0,64.0,USA,1974
706,Paul Karrer,male,Chemistry,1889.0,48.0,Russia,1937
707,Paul Krugman,male,Economic Sciences,1953.0,55.0,USA,2008
708,Paul M. Romer,male,Economic Sciences,1955.0,63.0,USA,2018
709,Paul Modrich,male,Chemistry,1946.0,69.0,USA,2015
710,Paul Hermann Müller,male,Physiology or Medicine,1899.0,49.0,Switzerland,1948
711,Paul R. Milgrom,male,Economic Sciences,1948.0,72.0,USA,2020
712,Paul Sabatier,male,Chemistry,1854.0,58.0,France,1912
713,Pavel Alekseyevich Cherenkov,male,Physics,1904.0,54.0,Russia,1958
714,Pearl Buck,female,Literature,1892.0,46.0,USA,1938
715,Percy Williams Bridgman,male,Physics,1882.0,64.0,USA,1946
717,Peter A. Diamond,male,Economic Sciences,1940.0,70.0,USA,2010
718,Peter Agre,male,Chemistry,1949.0,54.0,USA,2003
719,Peter C. Doherty,male,Physiology or Medicine,1940.0,56.0,Australia,1996
720,Petrus (Peter) Josephus Wilhelmus Debye,male,Chemistry,1884.0,52.0,the Netherlands,1936
721,Peter Grünberg,male,Physics,1939.0,68.0,Czech Republic,2007
722,Peter Handke,male,Literature,1942.0,77.0,Austria,2019
723,Peter W. Higgs,male,Physics,1929.0,84.0,United Kingdom,2013
724,Peter Brian Medawar,male,Physiology or Medicine,1915.0,45.0,Brazil,1960
725,Peter D. Mitchell,male,Chemistry,1920.0,58.0,United Kingdom,1978
726,Peyton Rous,male,Physiology or Medicine,1879.0,87.0,USA,1966
727,Philip H. Dybvig,male,Economic Sciences,1955.0,67.0,USA,2022
728,Philip J. Noel-Baker,male,Peace,1889.0,70.0,United Kingdom,1959
729,Philip Showalter Hench,male,Physiology or Medicine,1896.0,54.0,USA,1950
730,Philip Warren Anderson,male,Physics,1923.0,54.0,USA,1977
731,Philipp Eduard Anton von Lenard,male,Physics,1862.0,43.0,Slovakia,1905
732,Phillip A. Sharp,male,Physiology or Medicine,1944.0,49.0,USA,1993
733,Pierre Curie,male,Physics,1859.0,44.0,France,1903
734,Pierre-Gilles de Gennes,male,Physics,1932.0,59.0,France,1991
735,Pieter Zeeman,male,Physics,1865.0,37.0,the Netherlands,1902
736,Polykarp Kusch,male,Physics,1911.0,44.0,Germany,1955
738,Pyotr Leonidovich Kapitsa,male,Physics,1894.0,84.0,Russia,1978
739,Rabindranath Tagore,male,Literature,1861.0,52.0,India,1913
740,Ragnar Frisch,male,Economic Sciences,1895.0,74.0,Norway,1969
741,Ragnar Granit,male,Physiology or Medicine,1900.0,67.0,Finland,1967
742,Rainer Weiss,male,Physics,1932.0,85.0,Germany,2017
743,Ralph Bunche,male,Peace,1904.0,46.0,USA,1950
744,Ralph M. Steinman,male,Physiology or Medicine,1943.0,68.0,Canada,2011
745,William Randal Cremer,male,Peace,1828.0,75.0,United Kingdom,1903
746,Randy W. Schekman,male,Physiology or Medicine,1948.0,65.0,USA,2013
747,Raymond Davis Jr.,male,Physics,1914.0,88.0,USA,2002
748,Reinhard Genzel,male,Physics,1952.0,68.0,Germany,2020
749,Reinhard Selten,male,Economic Sciences,1930.0,64.0,Poland,1994
750,Renato Dulbecco,male,Physiology or Medicine,1914.0,61.0,Italy,1975
751,René Cassin,male,Peace,1887.0,81.0,France,1968
752,Riccardo Giacconi,male,Physics,1931.0,71.0,Italy,2002
753,Richard Axel,male,Physiology or Medicine,1946.0,58.0,USA,2004
754,Richard E. Smalley,male,Chemistry,1943.0,53.0,USA,1996
755,Richard E. Taylor,male,Physics,1929.0,61.0,Canada,1990
756,Richard F. Heck,male,Chemistry,1931.0,79.0,USA,2010
757,Richard H. Thaler,male,Economic Sciences,1945.0,72.0,USA,2017
758,Richard Henderson,male,Chemistry,1945.0,72.0,Scotland,2017
759,Richard J. Roberts,male,Physiology or Medicine,1943.0,50.0,United Kingdom,1993
760,Richard Kuhn,male,Chemistry,1900.0,38.0,Austria,1938
761,Richard Laurence Millington Synge,male,Chemistry,1914.0,38.0,United Kingdom,1952
762,Richard P. Feynman,male,Physics,1918.0,47.0,USA,1965
763,Richard R. Ernst,male,Chemistry,1933.0,58.0,Switzerland,1991
764,Richard R. Schrock,male,Chemistry,1945.0,60.0,USA,2005
765,Richard Stone,male,Economic Sciences,1913.0,71.0,United Kingdom,1984
766,Richard Martin Willstätter,male,Chemistry,1872.0,43.0,Germany,1915
767,Richard Adolf Zsigmondy,male,Chemistry,1865.0,60.0,Austria,1925
768,Rigoberta Menchú Tum,female,Peace,1959.0,33.0,Guatemala,1992
769,Rita Levi-Montalcini,female,Physiology or Medicine,1909.0,77.0,Italy,1986
770,Roald Hoffmann,male,Chemistry,1937.0,44.0,Ukraine,1981
771,Robert Andrews Millikan,male,Physics,1868.0,55.0,USA,1923
772,Robert B. Laughlin,male,Physics,1950.0,48.0,USA,1998
773,Robert B. Wilson,male,Economic Sciences,1937.0,83.0,USA,2020
774,Robert Burns Woodward,male,Chemistry,1917.0,48.0,USA,1965
775,Robert Bárány,male,Physiology or Medicine,1876.0,38.0,Austria,1914
776,Robert C. Merton,male,Economic Sciences,1944.0,53.0,USA,1997
777,Robert C. Richardson,male,Physics,1937.0,59.0,USA,1996
778,"Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood",male,Peace,1864.0,73.0,United Kingdom,1937
779,Robert E. Lucas Jr.,male,Economic Sciences,1937.0,58.0,USA,1995
780,Robert F. Curl Jr.,male,Chemistry,1933.0,63.0,USA,1996
781,Robert F. Engle III,male,Economic Sciences,1942.0,61.0,USA,2003
782,Robert F. Furchgott,male,Physiology or Medicine,1916.0,82.0,USA,1998
783,Robert G. Edwards,male,Physiology or Medicine,1925.0,85.0,United Kingdom,2010
784,Robert H. Grubbs,male,Chemistry,1942.0,63.0,USA,2005
785,Robert Hofstadter,male,Physics,1915.0,46.0,USA,1961
