,full_name,gender,category,birth_year,winner_age,birth_country,award_year
925,Venkatraman Ramakrishnan,male,Chemistry,1952.0,57.0,India,2009
926,Carl Gustaf Verner von Heidenstam,male,Literature,1859.0,57.0,Sweden,1916
927,Vernon L. Smith,male,Economic Sciences,1927.0,75.0,USA,2002
928,Vicente Aleixandre,male,Literature,1898.0,79.0,Spain,1977
929,Victor Franz Hess,male,Physics,1883.0,53.0,Austria,1936
930,Victor Grignard,male,Chemistry,1871.0,41.0,France,1912
931,Vincent du Vigneaud,male,Chemistry,1901.0,54.0,USA,1955
932,Vitaly Lazarevich Ginzburg,male,Physics,1916.0,87.0,Russia,2003
933,Vladimir Prelog,male,Chemistry,1906.0,69.0,Bosnia and Herzegovina,1975
934,Walter Gilbert,male,Chemistry,1932.0,48.0,USA,1980
935,Walter Houser Brattain,male,Physics,1902.0,54.0,China,1956
936,Walter Rudolf Hess,male,Physiology or Medicine,1881.0,68.0,Switzerland,1949
937,Walter Kohn,male,Chemistry,1923.0,75.0,Austria,1998
938,Walther Bothe,male,Physics,1891.0,63.0,Germany,1954
939,Walther Hermann Nernst,male,Chemistry,1864.0,56.0,Poland,1920
940,Wangari Muta Maathai,female,Peace,1940.0,64.0,Kenya,2004
941,Wassily Wassilyevich Leontief,male,Economic Sciences,1906.0,67.0,Russia,1973
942,Wendell Meredith Stanley,male,Chemistry,1904.0,42.0,USA,1946
943,Werner Arber,male,Physiology or Medicine,1929.0,49.0,Switzerland,1978
944,Werner Forssmann,male,Physiology or Medicine,1904.0,52.0,Germany,1956
945,Werner Karl Heisenberg,male,Physics,1901.0,31.0,Germany,1932
946,Wilhelm Conrad Röntgen,male,Physics,1845.0,56.0,Germany,1901
947,Wilhelm Ostwald,male,Chemistry,1853.0,56.0,Latvia,1909
948,Wilhelm Wien,male,Physics,1864.0,47.0,Russia,1911
949,Willard Frank Libby,male,Chemistry,1908.0,52.0,USA,1960
950,Willard S. Boyle,male,Physics,1924.0,85.0,Canada,2009
951,Willem Einthoven,male,Physiology or Medicine,1860.0,64.0,Indonesia,1924
952,William Alfred Fowler,male,Physics,1911.0,72.0,USA,1983
953,William Bradford Shockley,male,Physics,1910.0,46.0,United Kingdom,1956
954,Sir William Henry Bragg,male,Physics,1862.0,53.0,United Kingdom,1915
955,William Butler Yeats,male,Literature,1865.0,58.0,Ireland,1923
956,William C. Campbell,male,Physiology or Medicine,1930.0,85.0,Ireland,2015
957,William D. Nordhaus,male,Economic Sciences,1941.0,77.0,USA,2018
958,William D. Phillips,male,Physics,1948.0,49.0,USA,1997
959,William E. Moerner,male,Chemistry,1953.0,61.0,USA,2014
960,William Francis Giauque,male,Chemistry,1895.0,54.0,Canada,1949
961,William F. Sharpe,male,Economic Sciences,1934.0,56.0,USA,1990
962,William Faulkner,male,Literature,1897.0,52.0,USA,1949
963,William G. Kaelin Jr,male,Physiology or Medicine,1957.0,62.0,USA,2019
964,William Golding,male,Literature,1911.0,72.0,United Kingdom,1983
965,William H. Stein,male,Chemistry,1911.0,61.0,USA,1972
966,William S. Knowles,male,Chemistry,1917.0,84.0,USA,2001
967,William N. Lipscomb,male,Chemistry,1919.0,57.0,USA,1976
968,William Parry Murphy,male,Physiology or Medicine,1892.0,42.0,USA,1934
969,William Vickrey,male,Economic Sciences,1914.0,82.0,Canada,1996
970,Willis Eugene Lamb,male,Physics,1913.0,42.0,USA,1955
971,Willy Brandt,male,Peace,1913.0,58.0,Germany,1971
972,Sir Winston Leonard Spencer Churchill,male,Literature,1874.0,79.0,United Kingdom,1953
973,Wislawa Szymborska,female,Literature,1923.0,73.0,Poland,1996
974,Wladyslaw Stanislaw Reymont,male,Literature,1867.0,57.0,Poland,1924
975,Wole Soyinka,male,Literature,1934.0,52.0,Nigeria,1986
976,Wolfgang Ketterle,male,Physics,1957.0,44.0,Germany,2001
977,Wolfgang Paul,male,Physics,1913.0,76.0,Germany,1989
978,Wolfgang Pauli,male,Physics,1900.0,45.0,Austria,1945
979,Thomas Woodrow Wilson,male,Peace,1856.0,63.0,USA,1919
981,Yasser Arafat,male,Peace,1929.0,65.0,Egypt,1994
982,Yasunari Kawabata,male,Literature,1899.0,69.0,Japan,1968
983,Yitzhak Rabin,male,Peace,1922.0,72.0,Israel,1994
984,Yoichiro Nambu,male,Physics,1921.0,87.0,Japan,2008
985,Yoshinori Ohsumi,male,Physiology or Medicine,1945.0,71.0,Japan,2016
986,Yuan T. Lee,male,Chemistry,1936.0,50.0,Taiwan,1986
987,Yves Chauvin,male,Chemistry,1930.0,75.0,Belgium,2005
988,Zhores I. Alferov,male,Physics,1930.0,70.0,Belarus,2000
